subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Contracts,"When an existing contract is replaced by an entirely new contract, it is an example of:",assignment.,rescission.,novation.,reconstruction.,c,"c — This question illustrates the need to be familiar with real estate terminology. Under a novation, there is a substitution or exchange of a new obligation or contract for an old one by the mutual agreement of the parties. Refer to the Real estate glossary at the back of this book for definitions to critical real estate terms you are likely to encounter on the state exam."
Contracts,Which of the following is true concerning an option?,A fiduciary duty exists between the optionor and the optionee.,Only the optionor is bound to perform under the terms of an option.,Consideration does not actually have to change hands so long as the option says it has.,The optionee has created a legal interest in the property.,b,"b — The optionor is the owner of the real estate. Thus, the optionor is the only party obligated to perform under the terms of the option."
Contracts,A contract based on an unlawful purpose is:,void.,voidable.,unenforceable.,"enforceable, if in writing.",a,a — Any contract to perform an illegal act is void by definition. This is one of the four essential conditions of a contract.
Contracts,"Broker Greg took a listing on a commercial office complex and received an option to purchase the property within one month. On the 25th day of the listing, Broker Greg decides to buy the property. Before buying the property, Broker Greg is required to:",disclose the existence of any outstanding offers received on the property to the seller.,disclose all material information to the seller.,obtain written consent from the seller which acknowledges any profit or anticipated profit.,All of the above.,d,d — This is an example of full disclosure. All of these conditions need to be met in order for the broker to correctly exercise their option to purchase the property.
Contracts,A buyer and seller initial the liquidated damages clause in a real estate purchase agreement. The buyer later defaults. The amount recoverable is:,given to the seller when escrow opens.,limited to 3% of the selling price.,given to the seller after the default.,used to pay any costs incurred by the seller and then returned to the buyer.,c,"c — The amount recoverable under a liquidated damages provision in a purchase agreement is not always limited to 3%, only for one-to-four unit residential property. The only answer that is true is C."
Contracts,"Heather made an offer to purchase real property. The seller accepted the offer but Heather died before this acceptance was communicated to her by the seller’s agent. Based on these facts, which of the following is true?",Notification of the seller’s acceptance to the administrator or executor of Heather’s estate compels her estate to perform and close escrow.,The death of Heather constitutes a revocation of the offer.,"The offer and acceptance constitute an enforceable contract, even if Heather was not aware of the acceptance.",The accepted offer is binding on the administrator’s estate since the deed was not delivered before Heather’s death.,b,"b — Had the buyer’s death occurred after communication of the acceptance of the offer by the seller’s agent, her estate would have been responsible to complete the escrow."
Contracts,"A broker receives an offer from a buyer. The deposit is in the form of a personal promissory note for $20,000 payable to the seller in 60 days, plus 10% interest. Which of the following is true?",The broker cannot accept a note as a deposit.,The broker needs to present the offer and not mention the form of deposit to the seller.,The broker needs to accept the promissory note but must notify the seller the deposit is in the form of a promissory note.,Any deposit for the purchase of real property needs to be in the form of cash or a certified check.,c,"c — A deposit for the purchase of property may be made in any form. However, the broker needs to disclose the form and amount of the deposit to the seller."
Contracts,When does a broker not have to present an offer to purchase real property to their principal?,When all the contingencies have not been removed.,If the offer is for a commercial property.,When the offer is patently frivolous or the broker is acting on written instructions of the principal.,When the broker has disclosed to the seller in writing why they did not present the offer.,c,"c — While this is the correct answer, as a matter of prudent practice, an agent is to disclose the existence of all offers to the seller, unless the seller explicitly instructs otherwise."
Contracts,The instrument most likely to state that “time is of the essence” is a(n):,exclusive authorization and right to sell.,real estate purchase contract.,open listing.,option.,b,"b — The purchase agreement is the only contract offered that would require a response from the opposing party within a stated period of time. This is a good example of a question in which the wrong answers may be eliminated, thus leaving only the correct one remaining."
Contracts,A real estate buyer can rescind an offer until:,the seller has agreed to an appointment.,the offer has been presented to the seller.,the seller has accepted the offer.,the seller’s acceptance has been communicated to the buyer.,d,"d — As shown in Question 43, it is the communication of the acceptance of the offer to the buyer that limits their ability to rescind the offer."
Contracts,"Anita signs a real estate purchase contract as a buyer. The contract states the offer to purchase is valid for three days. One day later, Anita wishes to rescind her unaccepted offer. Which of these answers is correct?","Anita may revoke her offer, but is responsible for her agent’s commission.",Anita is bound to perform since the offer is irrevocable for three days.,Anita may revoke the offer and recover her deposit.,Anita may revoke the offer but will lose her deposit.,c,"c — Until the offer has been accepted, and the acceptance has been communicated to the buyer, Anita is free to revoke the offer."
Contracts,"When damages resulting from a breach of the contract are not adequate, each of the following may request specific performance, except the:",purchaser.,broker.,attorney-in-fact for one of the principals.,seller of a parcel of land.,b,"b — The parties to an escrow do not include the broker. Thus, the damages described do not include the broker’s fee nor would the broker have any authority to demand specific performance."
Contracts,"Under a land sales contract, title is conveyed to a buyer when they pay the remaining unpaid amount on the purchase price.",one-fourth,one-half,three-fourths,all,d,"d — Like most contracts, such as the purchase of an automobile, title is not conveyed until the final payment has been made."
Contracts,An offer to perform in accordance with contractual obligations is an example of:,a conditional offer.,a covenant.,tender.,performance.,c,c — To make an offer is to “tender” the offer. Refer to the Real Estate Glossary if any of these terms are unknown.
Contracts,A husband signed a contract to sell community real estate without his wife’s signature. The contract is:,voidable.,binding.,unenforceable.,void.,c,c — Both owners of community property need to be involved in the sale of property held by both parties.
Contracts,Which of the following is true concerning an option?,No consideration is necessary to create an option.,An option is void if the consideration is inadequate.,An option is valid so long as consideration is actually delivered.,None of the above.,c,"c — The amount of consideration is not relevant. However, the consideration itself needs to be delivered to create a valid and enforceable option."
Contracts,"To be enforceable, the listing of a business opportunity:",needs to be in writing.,never has to be in writing.,does not always have to be in writing.,needs to be exclusive.,c,"c — Be wary of “never” and “always” in questions such as this. In this case, a business opportunity sale may include real estate which requires the listing to be in writing. Recognize that an open listing is not exclusive and yet is still valid and enforceable."
Contracts,Acknowledgment by a notary public of the signature on a deed is done as a prerequisite for:,recording the deed at the county recorder’s office.,providing constructive notice of the grantee’s rights in the property.,proving the validity of the deed.,avoiding forgeries.,a,"a — Recording requires a notary acknowledgment verifying the identity of the signors. Even if a deed is valid, it cannot be recorded without acknowledgment."
Contracts,Any intentional concealment of material facts by an agent is regarded as:,misrepresentation.,fraud.,collusion.,commingling.,b,b — Intentional concealment is the key to the question. This is the condition required to evidence fraud beyond mere misrepresentation.
Contracts,"The terms “index,” “triple net” and “flat” are used to describe:",linkages.,leases.,rural land use.,freehold estates.,b,b — All of these terms relate to leases as they describe how rent is to be calculated and charged.
Real estate participants,The holder of a note secured by a trust deed and entitled to the performance of the provisions in the trust deed is the:,mortgagor.,trustee.,beneficiary.,trustor.,c,c — The trust deed has three parties. The beneficiary is the lender entitled to the performance of the provision in the trust deed.
Real estate participants,The seller under a land sales contract sale is the:,grantor.,grantee.,beneficiary.,vendor.,d,"d — A land sales contract transaction is classified as a vending process. Under a land sales contract, the seller retains title to the property until all or a prescribed part of the purchase price has been paid. The owner of real estate is almost always the “or” party. Thus, the seller is the vendor."
Real estate participants,The property owner who has given another party the option to purchase their property at a later date is the:,optionor.,optionee.,vendor.,vendee.,a,"a — The option process has similar rules as a land sales contract transaction. The optionor is the property owner. Further, the optionor is the only party obligated by the terms of the option if the optionee chooses to exercise the option and purchase the property."
Real estate participants,The borrower of mortgage funds is the:,trustee.,beneficiary.,mortgagor.,mortgagee.,c,"c —The borrower of mortgage funds is the property owner. Here, the borrower is described as the mortgagor. Thus, the borrower gives the lender a mortgage in exchange for funds."
Real estate participants,The buyer under a land sales contract is the:,vendor.,beneficiary.,vendee.,trustee.,c,"c — In a land sales contract sale, the buyer doesn’t obtain title to a property until the terms of the contract has been fulfilled. Here, the buyer is the vendee."
Real estate participants,The person who transfers property by a grant deed is the:,grantor.,grantee.,trustee.,vendor.,a,"a — The grantor is the person who signs the deed to transfer the property to another, the grantee."
Real estate participants,A party to a note and trust deed with the authority to sell the property on instructions from the beneficiary is the:,lender.,borrower.,court appointee.,trustee.,d,d — A trustee is named by the lender (beneficiary) to act as an intermediary in the event of a nonjudicial foreclosure.
Real estate participants,The tenant who rents an apartment under a month-to-month rental agreement is the:,trustee.,vendee.,lessee.,lessor.,c,"c — The tenant, regardless of the form of the rental or lease agreement, is known as the lessee."
Real estate participants,The entity that lends mortgage money to a borrower for the purpose of purchasing property is the:,mortgagor.,mortgagee.,trustee.,vendor.,b,"b — The lender of mortgage funds takes the “ee” position since there are only the two parties to the loan. Thus, the mortgagee is the lender who receives a mortgage from the borrower in exchange for the funds."
Real estate participants,The person who holds an option to purchase property is the:,trustor.,optionor.,optionee.,beneficiary.,c,"c — The person who holds the option to purchase real estate does not own it. Thus, they are the optionee."
Real estate participants,One who borrows money secured by a note and trust deed from a lender is the:,trustor.,trustee.,mortgagee.,beneficiary.,a,"a —The owner of the property is the borrower who takes out funds secured by a note and trust deed Thus, trustor is the correct answer."
Real estate participants,The owner of a rental property is the:,vendor.,lender.,lessor.,lessee.,c,c — The owner of a rental property is the lessor. Note the “or” convention which denotes the owner of the real estate.
Real estate participants,The recipient of title to a property by deed is the:,vendee.,lessee.,optionee.,grantee.,d,"d — Regardless of which type of deed is used (grant, quit claim, etc.), the person named as receiving title is the grantee."
Real estate mathematics,The SW 1/4 of the N 1/2 of Section 18 contains how many acres and how many square feet?,"80; 3,484,800.","40; 1,742,400.","80; 3,492,000.","160; 6,984,000.",a,"a — Determining the square footage of a portion of a section requires starting at the end of the description and working backward. A section contains 640 acres. Thus, the first step in this problem is: 640 acres / 2 = 320 acres (N 1/2 of a section) The next step requires dividing the north 1/2 of a section by 4 as the question asks for 1/4 of the previous portion of the section. 320 acres / 4 = 80 acres (SW 1/4 of N 1/2 of a section) 20’ 40’ 5’ 60’ 10’ Finally, multiply 80 acres by the square footage in an acre (43,560 sq. ft.). 43,560 sq. ft. x 80 acres = 3,484,800 sq. ft. Solution: 80 acres or 3,484,800 sq. ft."
Real estate mathematics,The NW 1/4 of the SE 1/4 of Section 21 sold for $4.00 per square foot. What was the sales price?,"$1,742,400.00","$6,969,600.00","$13,939,200.00","$3,484,800.00",b,"b — Here again, begin with the section (640 acres) and divide by 4 (the SE 1/4 of the section). 640 acres / 4 = 160 (SE 1/4 of the section) Next, divide 160 by 4 (the SW 1/4). 160 acres / 4 = 40 acres (NW 1/4 of SE 1/4 of a section) Multiply 40 acres by the square footage in an acre (43,560 sq. ft.). 43,560 sq. ft. x 40 = 1,742,400 sq. ft. Finally, now that it is known how many square feet are in this parcel of land, multiply this total by the price per square foot. 1,742,400 sq. ft. x $4 = $6,969,600 Solution: $6,969,600. Remember, this four-step question is still only worth one point, just the same as any other question on the exam."
Real estate mathematics,"A salesperson working under a broker had an employment contract calling for a 50/50 split of any commissions received. The salesperson negotiated a sale representing the buyer. The sales price was $490,000. The purchase agreement called for a fee of 3% of the sales price to be paid to the buyer’s broker. How much did the salesperson receive from their broker?","$29,400.00","$14,700.00","$7,350.00",$735.00,c,"c — In this first commission problem, we are told that the property sold for $490,000 with a 3% commission paid to the buyer’s broker. This first step looks like this: $490,000 x 0.03 = $14,700 Next, calculate the 50% portion of the broker’s $14,700 fee that is paid to the salesperson. $14,700 x 0.5 = $7,350 Solution: $7,350."
Real estate mathematics,"An experienced salesperson arranged an employment contract calling for a 70/30 split of any commissions received. The salesperson completed a sale representing both the buyer and seller. The sales price was $650,000. The escrow instructions called for a 5% fee paid to the broker. How much did the salesperson receive from their broker?","$22,750.00","$32,500.00","$16,250.00","$9,750.00",a,"a — In the second commission problem, the total fee paid to the broker is 5% of the sales price. $650,000 x 0.05 = $32,500 In this scenario, the more experienced salesperson earned 70% of the $32,500 fee and represented both the buyer and the seller. $32,500 x 0.7 = $22,750 Solution: $22,750."
Real estate mathematics,"The local and state property taxes on a particular property amount to 1.2% of the tax assessment value of the property. The tax rolls indicate a current value of $385,000. What is the first half of the current year’s tax bill?","$4,620.00","$2,310.00","$3,850.00","$1,925.00",b,"b — Annual property taxes are calculated as a percentage of the assessed value and are paid in two installments. Begin by calculating the total annual tax on a property valued at $385,000. $385,000 x 0.012 = $4,620 Note the question asked only for the first installment, not the annual total. $4,620 / 2 = $2,310 Solution: $2,310."
Real estate mathematics,"At the close of escrow for the sale of a property, the title insurance company obtained transfer tax stamps for the purchase price of $387,600. How much was the transfer tax charged?",$426.80.,$213.13.,$426.25.,$213.40.,a,"a — At the close of escrow, a tax is paid to the county as part of the recording process. The basic tax rate is $0.55 per $500. For this problem, first determine the rate per $1,000. $0.55 x 2 = $1.10 per $1,000 Remember, transfer tax is charged by rounding up to the next $500 increment. Therefore, in this problem, the value is rounded up to $388,000. Since the tax rate will be calculated on a per $1,000 basis, divide the rounded sales price by 1,000. $388,000 / 1,000 = $388 Next, multiply this total by the $1.10 transfer tax stamp rate. $388 x $1.10 = $426.80 Solution: $426.80."
Real estate mathematics,"At the close of escrow on the sale of a property, the title insurance company obtained transfer tax stamps for the purchase price of $411,200. How much was the transfer tax charged?",$452.10.,$452.65.,$453.20.,$465.52.,b,"b — This second transfer tax problem is solved in three steps. Once again, determine the rate per $1,000. $0.55 x 2 = $1.10 per $1,000 Next, multiply by the thousand-dollar multiple of the sales price. $1.10 x $411 = $452.10 Finally, since the sales price included an additional $200 over the $411,000, round the $200 up to $500. Add $0.55 to the previous calculation for the additional $500. $452.10 + $0.55 = $452.65 Solution: $452.65."
Real estate mathematics,"If the monthly rent on a particular duplex is $1,200 per month for each unit and the gross rent multiplier (GRM) is 12.5, what is its value?","$15,000.00","$180,000.00","$360,000.00","$30,000.00",c,"c — The multiplier method for calculating a property’s value under the income approach has two steps when the multiplier is known, as is the case in this question. Start by determining the total annual rents generated by an income-producing property. $1,200 (rent per unit) x 2 (units) x 12 (months) = $28,800 Next, multiply the gross rents ($28,800) by the GRM given in the question (12.5). $28,800 (total rent) x 12.5 (GRM) = $360,000 Solution: $360,000."
Real estate mathematics,"An apartment building produces an annual net operating income (NOI) of $24,000. A buyer seeks an annual rate of return of 12%. What price does the buyer pay for the property?","$200,000.00","$288,000.00","$240,000.00","$500,000.00",a,"a — The capitalization method requires knowing the net operating income (NOI) and the appropriate cap rate. First, place the two numbers provided in the question into the cap rate formula. $24,000 (NOI) = 12% (cap rate) x P (price) Next, divide the NOI by the cap rate. $24,000 / 0.12 = P P = $200,000 Thus, the buyer is to pay no more than $200,000 to yield a 12% rate of return. Solution: $200,000."
Real estate scenario questions,"Margaret buys a home from Daniel. Under the terms of the purchase, Margaret assumes Daniel’s existing loan. The lender consents, issuing a substitution of liability. What best describes the outcome of this arrangement?","Daniel remains primarily responsible for the loan. However, in the event Daniel goes into default, Margaret will become secondarily liable.","Margaret is primarily responsible for the loan. However, in the event Margaret goes into default, Daniel will become secondarily liable.",The lender may immediately accelerate the loan.,Daniel is relieved from liability and further performance under the loan.,d,"d – Under a substitution of liability agreed to by the lender, Daniel, as the original borrower, is fully relieved from liability and further performance under the loan. Only Margaret, the party assuming the loan, is liable."
Real estate scenario questions,"Agent Andrew examines an appraisal report written by an appraiser. Agent Andrew observes the appraisal report is divided into three primary sections: (1) Introduction, (2) Description of the area, neighborhood and property, and (3) Analysis, conclusions and opinions of value. Based on its format, the appraisal report being viewed by Andrew is most likely a:",Short form report.,Narrative report.,Letter report.,Broker price opinion (BPO).,b,"b – The narrative report is the best answer selection provided, and is the most thorough appraisal report format. It documents all of the reasoning and data involved in the appraisal process in a long-form format. Addenda can also be attached, making the total length of the narrative report near that of a book. A narrative report is most commonly used for commercial properties and residential properties containing greater than four units. A short form report is considerably abridged compared to a lengthy narrative report. A letter report usually contains only the appraiser’s investigations and analyses."
Real estate scenario questions,"Seller Octavio enters into an exclusive listing agreement with Broker Waters. Agent Jackson, who is employed by Waters, prepares marketing materials to advertise the property. The marketing materials indicate the property features multiple large structural additions and is in good condition. Buyer Lupe sees the advertising and contacts Jackson. Jackson shows Lupe the property, indicating the roof is brand new and that the additions were built to code and constructed with the proper permitting. Based on these representations, Lupe submits an offer to purchase the property to Octavio. One day after the close of escrow, Jackson provides a Transfer Disclosure Statement (TDS) to Lupe which indicates the roof is 15 years old and none of the additions are properly permitted. Lupe attempts to recover from Waters, Jackson and Octavio for fraud. Lupe is awarded damages from Octavio but is unable to recover from Waters and Jackson who have become insolvent. What remedy is the best option for Lupe?",Errors and Omissions (E&O) insurance.,Private mortgage insurance (PMI).,Homeowners’ insurance.,The Real Estate Recovery Fund.,d,"d – The Real Estate Recovery Fund, also known as the Consumer Recovery Account, is available to individuals who have obtained a final-court judgment against a real estate licensee for losses caused while acting as an agent and are unable to recover the judgment from the licensee. Note the question provides extraneous details and distractions from the core issue of the Real Estate Recovery Fund. This question is an excellent example of a long story which yields a simple answer."
Real estate scenario questions,"An appraiser is hired to appraise a single family residence (SFR) in an older community. The appraiser observes an abandoned industrial plant next door with large tanks for the storage of chemicals and is concerned about contaminants. Of the following choices, which is the appraiser most likely to recommend first?",A soil report by a certified home inspector.,A survey conducted by a Phase I environmentalist.,A toxic waste report from the environmental protection agency (EPA).,A natural hazard mitigation plan.,c,"c – An appraiser ought to be primarily concerned about whether the property has been contaminated by a leak in any of the chemical storage tanks. A leak of chemicals poses serious health concerns for occupants of neighboring properties, and greatly impacts the value of the property being appraised. Here, a toxic waste report from the environmental protection agency (EPA) is the best way to acquire this information."
Real estate scenario questions,Jennifer is a mortgage broker. Harold is a mortgage banker. How would you describe the differences in Jennifer and Harold’s duties and functions?,Jennifer finds the loan. Harold funds it.,Jennifer services the loan. Harold finds it.,Harold services the loan for a financial institution. Jennifer funds it.,"Harold and Jennifer do the same thing, but Jennifer possesses an additional endorsement on her license.",a,"a – A mortgage banker is a person whose principal business is originating, funding and servicing loans secured by real property for mortgage brokers and institutional lenders on a contractual basis. A mortgage broker “shops” a borrower’s loan, competitively locating a lender to fund the loan on the terms sought by the borrower."
Real estate scenario questions,Harvey has been hired to conduct a survey of raw land located outside of the city center. Public utilities have yet to be connected to the land. The land is a quarter of a section. How many acres is it?,640,320,160,36,c,"c – Under the Public Land Survey System (PLSS), a township contains 36 sections. A section contains 640 acres — nominally one square mile. A quarter section contains 160 acres. Note the question comments on the lack of public utilities. This comment has no relation to the answer and is included as a distraction. Ultimately, it is purely about the conversion of a section to an acre equivalent."
Real estate scenario questions,Betsy purchases a property in a rural area that receives water from a local tributary and obtains stock in a mutual water company. Which of the following statements is incorrect?,The mutual water company possesses the right to take water from a local source and share the water with the landowners who live in the area.,"When Betsy sells her property, she retains ownership of her stock.",The mutual water company is a corporation formed by the state of California.,The stock owned by Betsy is appurtenant to the land.,b,"b – Stock in a mutual water company is appurtenant to the land. Thus, when Betsy sells her property, she does not retain ownership of the stock."
Real estate scenario questions,"Michael is hired to conduct an appraisal of a residential property. The neighbor’s property recently sold for $445,000. The neighbor’s house is of a similar age, size and condition as the owner’s house, except it has a fireplace worth $5,000 which the owner does not have. Adjusting for the difference in the improvements (the fireplace) between the owner’s and neighbor’s house would establish the value of the owner’s house at $440,000. This is an example of what appraisal approach?",Market comparison approach.,Cost approach.,Income approach.,Gross rent multiplier method.,a,"a – The market comparison approach is the most commonly used approach to establish the fair market value (FMV) of real estate. Applying the market comparison approach, the appraiser looks at the current selling prices of similar properties to help establish the comparable value of the property being appraised. Adjustments are made for any differences in the similar properties, such as amenities."
Real estate scenario questions,"Sally would like to purchase property in a common interest development (CID). After viewing multiple projects with an agent and considering her options, Sally ends up buying shares of a stock in a corporation that owns an apartment complex. In return, Sally receives the right to occupy one of the apartments. What best describes this type of ownership?",Stock cooperative.,Condominium.,Long-term apartment lease.,Land sales contract.,a,a – A stock cooperative refers to an apartment building that is owned by a corporation. Tenancy in an apartment unit is obtained by the purchase of shares of stock in the corporation. The owner of such shares is entitled to occupy a specific apartment within the building.
Real estate scenario questions,Samson would like to purchase a newly built home that is close to good schools for his children. He locates a two-story property that features a brick and wood façade. A kitchen and family room are located on the first floor. Multiple bedrooms are contained on the second floor. What property style best describes the house being considered by Samson?,Ranch.,Contemporary.,Walk-up.,Colonial.,d,"d – The question describes a colonial style home — one of the most popular styles homes in the United States. Answer selection A. Ranch is only one story. Answer selection B. Contemporary refers to a wide range of homes built in recent decades. The contemporary style tends to feature open floor plans and concentrate on simple forms, free of elaborate ornamentation. Answer selection C. Walk-up refers to a multi-story apartment complex that doesn’t contain an elevator, and thus is the least appropriate of the answer selections."
Real estate scenario questions,"Chad occupies a property along the coast as his primary residence. Chad later loses his job and begins to have a difficult time budgeting his mortgage, property tax payments and maintenance costs. Chad makes property tax payments twice per year. What is the latest date Chad can make the second property tax payment before it is late?",December 10th.,February 10th.,April 10th.,September 10th.,c,c – California’s fiscal year runs from July 1st to June 30th. Property taxes are generally collected in two equal installments. The first installment for July 1st through December 31st is due on November 1st and becomes late after December 10th. The second installment for January 1st through June 30th is due on February 1st and becomes late after April 10th.
Real estate scenario questions,Martha is the escrow officer overseeing the closing of a purchase transition involving Seller Jason and Buyer Lena. A dispute arises between Jason and Lena regarding repairs agreed to be made to the property by Jason. Escrow fails to close. No mutually agreed to instructions are given to Martha concerning the disbursement of the funds in escrow. What should Martha do with the deposit held in escrow?,Give the deposit to Jason since he incurred expenses to repair the property.,Give the deposit to Lena since she was the source of the good faith deposit.,Return the funds in accordance with which party initially deposited them.,Deposit the funds with the court.,d,"d – Unless escrow receives mutual instructions to disburse the funds held in escrow when escrow fails to close, escrow is to deposit the funds with the court. This relieves escrow of any further responsibility to account for the funds, called an interpleader. Thus, escrow can close out its trust account on this escrow file."
Real estate scenario questions,"Kari is interested in purchasing a commercial property to hold as an income-generating investment. Kari locates a property that may be suitable. To quickly determine an estimate of the rate of return generated by the property, Kari divides the property’s net operating income (NOI) by the price she would offer to purchase the property. What does this calculation provide Kari?",The yield spread.,The capitalization rate (cap rate).,The net income multiplier (NIM).,The return of investment.,b,b – The capitalization rate (cap rate) is the annual rate of return produced by the operations of an income property. The cap rate is calculated by dividing the net operating income (NOI) by the price asked or offered for the income property. The cap rate is used to estimate the annual rate of return on invested capital.
Real estate scenario questions,"Agent Seth is employed by Broker Rachel. Seth enters into an exclusive listing with a property owner to sell their property. At the same time, Agent Bethany, who is also employed by Rachel, works separately with a buyer to locate qualifying properties listed with other brokers. Agent Bethany shows her buyer a property that is the subject of an in-house listing. What does this do to Rachel’s agency status?",Rachel becomes a dual agent the moment Bethany’s buyer is exposed to a property that is the subject of an in-house listing.,Rachel becomes a subagent of Bethany’s buyer.,Rachel may not allow Bethany to show her buyers any in-house listings.,Nothing about Rachel’s agency status changes.,a,"a – When the agent of a buyer shows their buyer an in-house listing that is owned by the buyer’s employing broker, the broker becomes a dual agent. Here, the broker, through their agents, is concurrently representing both the buyer and the seller of the property the buyer is being exposed to. This relationship will be documented in the Agency Confirmation Provision included in transaction documents."
Real estate scenario questions,"Harry is hired to appraise an apartment complex in a populous area close to areas of employment. To determine the property’s value based on the property’s future income and operating expenses, Harry divides the property’s net operating income (NOI) by a capitalization rate (cap rate). What appraisal method does this practice best represent?",Income method.,Gross rent multiplier method.,Cost approach.,Capitalization method.,d,"d – The capitalization method is the best answer of the selections provided. The capitalization method is used by an appraiser to arrive at a property’s value based on the present worth of a property’s future net operating income. Answer selection B. Gross rent multiplier method uses the potential or gross rent multiplied by a gross rent multiplier (GRM) to determine value. Both of these answers are methodologies applied under the income approach that is used for properties that generate rental income. Note answer selection A. Income method incorrectly uses the term “method” versus “approach,” and can thus be eliminated."
Real estate scenario questions,"A new development is constructed under the smart growth planning theory. The development contains compact, walkable areas that are designed to avoid sprawl. This concept of smart growth is most applicable to what type of property?",Rural.,Urban.,Suburban.,Both rural and urban property equally.,b,"b – Smart growth is primarily an urban planning theory which seeks to concentrate growth in dense, compact urban centers. The principal objective of smart growth is to avoid sprawl. While this methodology could also be applied to other types of property to a lesser extent, it is most applicable to urban properties. This question illustrates the need to select the best answer. Though other selections may be partially correct, only B. Urban is the best option."
Real estate scenario questions,"Broker Bishop and Broker Bailey enter into an open listing to sell Seller Sanders’ property. Bailey locates Buyer Hernandez who may be interested in the property and conducts an open house tour with Hernandez. Hernandez asks about the tax aspects of acquiring the property, and Bailey answers to the best of his knowledge, letting Hernandez know he is not a tax expert and his representations are based on his knowledge of real estate. Hernandez gets cold feet and decides not to submit an offer. One month later, Bishop comes in contact with Hernandez and conducts a second open house of Sanders’ property. Informed by both open houses and his discussion with both brokers, Hernandez submits an offer to purchase through Bishop. How is Sanders to properly handle payment of the commission?",The full amount of the commission agreed to in the listing is paid to both brokers since both helped to facilitate the purchase.,The full amount of the commission is paid to Broker Bishop only since he ultimately was the producing cause of the sale.,The full amount of the commission is paid to Broker Bailey only since he spent more time with the buyer and provided more information to Buyer Hernandez.,The commission is split evenly between both brokers since they both worked with Buyer Hernandez.,b,"b – Regardless of the extent of real estate activity conducted by other brokers, only the broker who was the procuring cause of the sale is entitled to a fee under an open listing. Note the extent to which the question comments on the other activities performed by Broker Bailey, the first broker who was not the procuring cause of the sale. This is irrelevant to the collection of a fee. Once the question makes it clear the brokers are operating under an open listing, the only fact that controls is which broker was the procuring cause."
Real estate scenario questions,A buyer enters into a purchase agreement with a seller conditioned on the buyer obtaining loan financing. The buyer contacts a lender who agrees to fund the loan. The buyer pays multiple points upfront to the lender. What does this do to the note rate on the mortgage?,The note rate will remain the same and the principal amount will decrease.,The note rate will increase and the principal amount will increase.,The note rate will decrease and the principal amount will increase.,The note rate will decrease and the principal amount will remain the same.,d,"d – Points are a fee charged by a mortgage lender as prepaid interest. Payment of a point causes a reduction in the note rate on the mortgage. However, the payment of a point will have no effect on the principal balance of a mortgage. A point equals 1% of the amount of the mortgage."
Real estate scenario questions,"Riley is hired to conduct an appraisal of a property. While analyzing the location of the property, Riley observes the property is situated behind other lots and is connected to the public street by a long and narrow driveway. This kind of lot is referred to as a(n):",Key lot.,Flag lot.,Interior lot.,Corner lot.,b,"b – A flag lot is located behind other lots with a long and narrow access driveway to a public street. Thus, it resembles the shape of a flag with the road representing the pole and the lot representing the flag. Flag lots generally have a reduced value due to the lack of privacy that results from being surrounded by other homes. Flag lots also lack curb appeal. Similarly, answer selection C. Interior lot references a lot that is surrounded by lots on all three sides and does not feature a long driveway connecting it to a public street. An interior lot is the most common type of lot, and is usually rectangular in shape."
Real estate scenario questions,"Property developer Joaquin would like to purchase 175 acres of raw land as the site of a future subdivision. The property is being sold for $800,000 cash. Joaquin lacks the funds to purchase the property and is unable to obtain traditional financing. Joaquin convinces his friend Davidson to purchase the land for him. Davidson acquires the land with his own funds. After closing, Davidson executes a land sales contract of the property to Joaquin for $825,000. This is an example of a:",valid purchase and resale of a property.,discounted mortgage arrangement.,void transfer of ownership.,violation of the Real Estate Settlement Procedures Act (RESPA).,a,"a – This scenario describes a valid and legitimate purchase and resale of a propety. Here, a colleague purchased a property at the request of his friend. In return, the friend agreed to purchase the property from his colleague under a land sales contract at a higher price. No deceit or improper conduct occurred."
Real estate scenario questions,"Architect Franklin is studying a document related to the construction of a neighborhood. The documentation shows how the tract of land is divided into designated lots. It also displays the boundary and size of each lot of the development, as well as nearby streets and recorded easements. What type of document is Franklin most likely looking at?",A plot plan.,A topographic map.,A plat map.,"The conditions, covenants and restrictions (CC&Rs) of a community.",c,"c – A plat map shows how a tract of land is divided into lots. It also displays the size, boundary locations, nearby streets, flood zones, easements and rights of way which relate to the project. Answer selection A. a plot plan is a tempting red-herring. A plot plan shows where a building and other site improvements will be located on an individual lot. In terms of scale, a plat map relates to a whole neighborhood or development. A plot plan refers to a single property."
Real estate scenario questions,"Broker Wyatt would like to launch a direct mail advertising campaign in which Wyatt solicits advance fees to fund a specified short sale-related service for the benefit of the principal. Wyatt submits the planned promotional materials to the Department of Real Estate (DRE) for review. One week later, Wyatt begins sending his mailers. What did Wyatt do wrong?",Wyatt did not wait fifteen days before circulating his advertisement.,Wyatt did not obtain approval from the DRE before circulating his advertisement.,Wyatt cannot solicit for advance fees in relation to any short sale activity.,Wyatt first needs to obtain approval from the U.S. Postal Service before he may launch a direct mail program.,b,b – A broker needs to obtain approval from the Department of Real Estate (DRE) prior to soliciting for an advance fee. The advance fee paperwork must be submitted to the DRE for approval at least 10 days prior to use.
